Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,15 years and over,16.2,7.3,8.9
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,25 years and over,15.3,7.0,8.4
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,25-44 years,9.1,3.5,5.6
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,45 years and over,6.2,3.5,2.8
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,25-54 years,12.5,5.3,7.1
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,55 years and over,2.9,1.6,0.0
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,55-64 years,2.7,1.6,0.0
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,15-29 years,1.8,0.0,0.0
2006,Canada,  Total Landed immigrants,      27 - 51 weeks,25-64 years,15.2,7.0,8.2
2006,Canada,  Total Landed immigrants,      52 weeks,15 years and over,12.4,6.6,5.8
2006,Canada,  Total Landed immigrants,      52 weeks,15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      52 weeks,25 years and over,12.0,6.5,5.5
2006,Canada,  Total Landed immigrants,      52 weeks,25-44 years,6.6,3.4,3.2
2006,Canada,  Total Landed immigrants,      52 weeks,45 years and over,5.4,3.2,2.3
2006,Canada,  Total Landed immigrants,      52 weeks,25-54 years,9.5,5.0,4.5
2006,Canada,  Total Landed immigrants,      52 weeks,55 years and over,2.5,1.5,0.0
2006,Canada,  Total Landed immigrants,      52 weeks,55-64 years,2.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      52 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      52 weeks,15-29 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      52 weeks,25-64 years,11.5,6.2,5.3
2006,Canada,  Total Landed immigrants,      53 weeks or more,15 years and over,17.5,10.4,7.2
2006,Canada,  Total Landed immigrants,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      53 weeks or more,25 years and over,17.0,10.1,6.9
2006,Canada,  Total Landed immigrants,      53 weeks or more,25-44 years,8.0,5.2,2.8
2006,Canada,  Total Landed immigrants,      53 weeks or more,45 years and over,9.0,4.9,4.1
2006,Canada,  Total Landed immigrants,      53 weeks or more,25-54 years,12.3,7.6,4.8
2006,Canada,  Total Landed immigrants,      53 weeks or more,55 years and over,4.6,2.5,2.1
2006,Canada,  Total Landed immigrants,      53 weeks or more,55-64 years,3.2,1.7,1.5
2006,Canada,  Total Landed immigrants,      53 weeks or more,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      53 weeks or more,15-29 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,      53 weeks or more,25-64 years,15.5,9.3,6.2
2006,Canada,  Total Landed immigrants,   Duration unknown,15 years and over,7.7,2.6,5.1
2006,Canada,  Total Landed immigrants,   Duration unknown,15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   Duration unknown,25 years and over,6.7,2.2,4.5
2006,Canada,  Total Landed immigrants,   Duration unknown,25-44 years,3.3,0.0,2.2
2006,Canada,  Total Landed immigrants,   Duration unknown,45 years and over,3.4,0.0,2.3
2006,Canada,  Total Landed immigrants,   Duration unknown,25-54 years,4.6,1.5,3.1
2006,Canada,  Total Landed immigrants,   Duration unknown,55 years and over,2.1,0.0,0.0
2006,Canada,  Total Landed immigrants,   Duration unknown,55-64 years,2.1,0.0,0.0
2006,Canada,  Total Landed immigrants,   Duration unknown,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   Duration unknown,15-29 years,1.6,0.0,0.0
2006,Canada,  Total Landed immigrants,   Duration unknown,25-64 years,6.7,2.2,4.5
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),15 years and over,19.7,20.5,18.9
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),15-24 years ,7.9,7.5,8.3
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),25 years and over,22.3,23.4,21.1
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),25-44 years,19.4,19.9,19.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),45 years and over,26.6,28.1,24.8
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),25-54 years,20.7,21.6,20.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),55 years and over,29.5,30.7,27.9
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),55-64 years,28.3,30.6,25.4
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),65 years and over,36.3,30.9,49.3
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),15-29 years,9.2,9.5,8.8
2006,Canada,  Total Landed immigrants,Average weeks unemployed (no top-code),25-64 years,21.9,23.1,20.7
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,15 years and over,64.1,31.1,33.0
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,15-24 years ,11.9,5.5,6.4
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,25 years and over,52.2,25.5,26.6
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,25-44 years,41.4,20.2,21.2
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,45 years and over,10.8,5.3,5.5
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,25-54 years,48.8,24.0,24.9
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,55 years and over,3.3,1.5,1.8
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,55-64 years,2.3,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,15-29 years,20.5,8.7,11.8
2006,Canada,"      Very recent immigrants, 5 years or less",Total unemployed,25-64 years,51.2,25.0,26.2
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15 years and over,25.9,12.2,13.7
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-24 years ,7.8,3.8,4.1
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25 years and over,18.1,8.5,9.6
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-44 years,15.1,6.8,8.3
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,45 years and over,3.1,1.7,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-54 years,17.4,8.0,9.4
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-29 years,11.8,5.1,6.7
2006,Canada,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-64 years,17.9,8.3,9.6
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15 years and over,19.0,9.3,9.7
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-24 years ,2.6,0.0,1.5
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25 years and over,16.3,8.1,8.2
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-44 years,13.5,6.4,7.1
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,45 years and over,2.8,1.7,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-54 years,15.6,7.8,7.8
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-29 years,5.5,2.2,3.3
2006,Canada,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-64 years,16.2,8.0,8.2
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15 years and over,7.1,3.6,3.5
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25 years and over,6.4,3.3,3.1
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-44 years,5.2,2.8,2.4
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-54 years,6.0,3.1,2.9
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-64 years,6.3,3.2,3.1
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,15 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,25 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,25-44 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,25-54 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   26 weeks ,25-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,15 years and over,10.1,5.4,4.6
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,25 years and over,9.5,5.2,4.3
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-44 years,6.6,4.0,2.6
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,45 years and over,3.0,0.0,1.7
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-54 years,8.4,4.8,3.6
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-64 years,8.9,5.0,3.9
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15 years and over,3.3,0.0,2.2
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25 years and over,3.0,0.0,1.9
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-44 years,2.1,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-54 years,2.8,0.0,1.8
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-64 years,3.0,0.0,1.9
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,15 years and over,2.6,1.7,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,25 years and over,2.5,1.6,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,25-44 years,2.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,25-54 years,2.3,1.5,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      52 weeks,25-64 years,2.4,1.6,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,15 years and over,4.1,2.6,1.5
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,25 years and over,4.0,2.6,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-44 years,2.4,1.8,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,45 years and over,1.6,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-54 years,3.3,2.3,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-64 years,3.5,2.4,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,15 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,25 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,25-44 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,25-54 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,55 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,55-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,15-29 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",   Duration unknown,25-64 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15 years and over,16.0,17.7,14.4
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-24 years ,6.9,6.9,7.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25 years and over,18.1,19.9,16.3
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-44 years,16.2,18.8,13.7
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),45 years and over,25.8,24.8,26.8
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-54 years,17.4,19.6,15.2
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55 years and over,29.8,27.4,34.1
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55-64 years,21.7,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),65 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-29 years,8.6,9.2,8.1
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-64 years,17.5,19.6,15.5
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2006,Canada,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
